시도명,시군구명,상호명,소재지도로명주소,업종,흡연실구분,흡연시설형태,데이터기준일자,
서울특별시,마포구,3POP 빈티지 PC CAFE,서울특별시 마포구 월드컵북로30길 13 지1 (성산동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,이룸PC,서울특별시 마포구 마포대로 38, 지하1층 (도화동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,제노PC방(홍대2),서울특별시 마포구 와우산로 83, 지하1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,I PC CAFE 홍대역점,서울특별시 마포구 양화로 156, 지하2층 (동교동, LG팰리스빌딩),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,히어로PC방,서울특별시 마포구 독막로 241 지1 (대흥동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,긱스타 PC CAFE,서울특별시 마포구 월드컵로1길 14 지1 (합정동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,샘PC방,서울특별시 마포구 연희로 39, 지1 (연남동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,탑플레이스 PC,서울특별시 마포구 월드컵북로16길 27, 3층 (성산동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,오투 피시방,서울특별시 마포구 망원로 24 (망원동,지층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,마나 피씨존,서울특별시 마포구 성미산로 4 (성산동,2층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,토끼와거북이 PC CAFE,서울특별시 마포구 서강대길 12, 2층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,공간PC,서울특별시 마포구 서강대길 12, 지하1층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,넥스트 PC 서강대점,서울특별시 마포구 서강로16길 69, 지1층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,서강PC,서울특별시 마포구 백범로 28 (신수동),게임제공업소,실내,밀폐형,44669.0,
