연번,자치구,시설구분,시설형태,설치위치,설치위치 상세,규모(㎡),설치일,설치주체,관리여부,관리기관
1,서대문구,청사,완전폐쇄형,연희로248,옥상,35,-,서대문구청,Y,서대문구청
2,서대문구,청사,개방형,연희로248,1층 정자,25,-,서대문구청,Y,서대문구청
3,서대문구,청사,개방형,연희로182,서대문소방서 3층 테라스,25,2021-06-06,서대문소방서,Y,서대문소방서
4,서대문구,청사,개방형,서소문로51,1층,9,2021-10-15,상수도사업본부,Y,상수도사업본부
5,서대문구,청사,개방형,성산로20길 9,4층 테라스,9,2021-12-12,서대문우체국,Y,서대문우체국
6,서대문구,청사,개방형,성산로20길 9,2층 실외,15,2021-12-12,서대문우체국,Y,서대문우체국
7,서대문구,청사,개방형,성산로20길 9,1층,8,2021-12-12,서대문우체국,Y,서대문우체국
8,서대문구,청사,개방형,통일로113,1층,5,2021-01-11,서대문경찰서,Y,서대문경찰서
9,서대문구,청사,완전폐쇄형,통일로97,1층,5,-,경찰청,Y,경찰청
10,서대문구,청사,개방형,충정로36,1층,15,-,국민연금공단,Y,국민연금공단
11,서대문구,청사,개방형,충정로60,1층,25,2021-09-11,KT&G,Y,KT&G
12,서대문구,청사,개방형,충정로60,1층,20,2021-09-11,KT&G,Y,KT&G
13,서대문구,의료기관,완전폐쇄형,연세로50-1,장례식장1층,50,-,연세세브란스병원,Y,연세세브란스병원
14,서대문구,대학교,개방형,경기대로44,평생교육원 옥상,18,-,경기대학교,Y,경기대학교
15,서대문구,대학교,폐쇄형,통일로37길 51,1층,12,2021-01-17,디지털서울문화예술대,Y,디지털서울문화예술대
16,서대문구,대학교,개방형,가좌로134,1층 체육관 옆,12,-,명지전문대,Y,명지전문대
17,서대문구,대학교,완전폐쇄형,거북골로34,명지대1층 기숙사 옆,15,-,명지대,Y,명지대
18,서대문구,학원,개방형,신촌로197,5층(외부),20,-,한국방송예술진흥원,Y,한국방송예술진흥원
19,서대문구,"1,000㎡이상 건축물",개방형,응암로121,KT가좌지사 1층 주차장,12,2021-01-15,KT가좌지사,Y,KT가좌지사
20,서대문구,"1,000㎡이상 건축물",개방형,성산로321,지오영빌딩 1층 테라스,22,2021-01-15,지오영빌딩,Y,지오영빌딩
21,서대문구,"1,000㎡이상 건축물",개방형,성산로263,영화의료기빌딩 옥상,6,2021-10-12,영화의료기빌딩,Y,영화의료기빌딩
22,서대문구,"1,000㎡이상 건축물",개방형,수색로56,성공타워 옥상,8,2021-12-14,성공타워,Y,성공타워
23,서대문구,"1,000㎡이상 건축물",폐쇄형,경기대로47,진양빌딩 2층 외부,10,-,진양빌딩,Y,진양빌딩
24,서대문구,"1,000㎡이상 건축물",개방형,경기대로9,KT아현지사 1층 주차장,6,2021-10-18,KT아현지사,Y,KT아현지사
25,서대문구,"1,000㎡이상 건축물",폐쇄형,충정로29,동아일보사 1층 주차장,15,2021-05-14,동아일보,Y,동아일보
26,서대문구,"1,000㎡이상 건축물",개방형,통일로135,충정빌딩 옥상,25,2021-03-16,충정빌딩,Y,충정빌딩
27,서대문구,"1,000㎡이상 건축물",개방형,충정로70,웨스트게이트타워 옥상,50,2021-01-11,웨스트게이트타워,Y,웨스트게이트타워
28,서대문구,"1,000㎡이상 건축물",개방형,충정로50,골든브리지빌딩 지하1층 외부,10,-,골든브리지빌딩,Y,골든브리지빌딩
29,서대문구,"1,000㎡이상 건축물",폐쇄형,서소문로21,충정타워 지하1층,15,-,충정타워,Y,충정타워
30,서대문구,"1,000㎡이상 건축물",개방형,충정로8,종근당빌딩 1층 테라스,30,2000-01-01,종근당,Y,종근당
31,서대문구,"1,000㎡이상 건축물",개방형,서소문로45,SK리쳄블 옥상,9,2021-01-14,SK리쳄블,Y,SK리쳄블
32,서대문구,"1,000㎡이상 건축물",개방형,연희로142,대림통상 옥상,30,2021-01-02,대림통상,Y,대림통상
33,서대문구,"1,000㎡이상 건축물",개방형,신촌로73,케이스퀘어 신촌빌딩 옥상,13,2021-10-17,신촌빌딩,Y,신촌빌딩
34,서대문구,"1,000㎡이상 건축물",완전개방형,연희로407,백련빌딩 옥상,5,-,백련빌딩,Y,백련빌딩
35,서대문구,"1,000㎡이상 건축물",완전개방형,신촌로231,백상빌딩 옥상,6,2021-06-18,백상빌딩,Y,백상빌딩
36,서대문구,"1,000㎡이상 건축물",개방형,신촌로183,유인빌딩 2층 외부,7,2021-10-17,유인빌딩,Y,유인빌딩
37,서대문구,"1,000㎡이상 건축물",완전개방형,신촌로113,YBM옥상,15,2021-03-18,YBM,Y,YBM
38,서대문구,"1,000㎡이상 건축물",폐쇄형,충정로23,풍산빌딩 1층 화단 옆,18,2021-01-12,풍산빌딩,Y,풍산빌딩
39,서대문구,"1,000㎡이상 건축물",개방형,연세로13,현대백화점 유플렉스 신촌점 옥상,25,-,현대백화점,Y,현대백화점
40,서대문구,대규모점포,개방형,신촌로83,현대백화점 신촌점 옥상,100,-,현대백화점,Y,현대백화점
