업종,시설명(업소),주소,흡연실 개소수
공공청사,지방자치단체 청사,봉화산로 179(신내동),2
공공청사,면목5동,동일로 619(면목동),1
의료기관,서울의료원,신내로 156,1
의료기관,녹색병원,사가정로49길 53,2
의료기관,서울정형외과,망우로 418,1
의료기관,위너스병원,망우로 403,1
복합건축물,서울시체육회,망우로 182(상봉동),1
복합건축물,한국전력,동일로 862,1
복합건축물,서울우유,중랑천로 71,2
복합건축물,삼부빌딩,망우로 418,1
복합건축물,대상빌딩,면목로 470,1
대학교,서일대,용마산로90길 28,4
대형점포,이노씨티,망우로 353,1
대형점포,하이마트,망우로 399,1
게임업소,사이버캡틴PC방, 면목동 359-15번지 지하1층 ,1
게임업소,푸른공간, 면목동 176-11번지 1층 ,1
게임업소,매직엔PC방, 중화동 316-1번지 지하1층 ,1
게임업소,i7 PC방, 면목동 665-3번지 ,1
게임업소,스타포스PC방, 상봉동 115-20번지 ,1
게임업소,집피씨클럽, 망우동 147-21번지 지상2층 ,1
게임업소,메트로PC방, 중화동 314-1번지 지하1층 ,1
게임업소,하이넷PC, 망우동 487-17번지 지하1층 ,1
게임업소,스피드넷PC방, 묵동 244-140번지 지상3층 ,1
게임업소,누리터PC방, 신내동 454-4번지 지상3층 ,1
게임업소,WAAPC방, 면목동 399-36번지 지상2층 ,1
게임업소,제우스 PC방, 면목동 458-76번지 지상3층 ,1
게임업소,일프로PC방," 면목동 103-5번지 지상2,3층 ",1
게임업소,푸른공간, 중화동 311-10번지 지하1층 ,1
게임업소,레드죤피시방, 상봉동 88-95번지 ,1
게임업소,사이버스페이스, 상봉동 113-4번지 지하1층 ,1
게임업소,망고 PC방, 중화동 307-63번지 지상3층 ,1
게임업소,윈 플러스PC방, 신내동 587-4번지 지상3층 ,1
게임업소,스마트PC방, 중화동 311-7번지 ,1
게임업소,블랙PC, 면목동 103-6번지 ,1
게임업소,오즈아레나, 망우동 572번지 용마프라자 지하001호,1
게임업소,아이세븐PC(i7 PC), 면목동 661-4번지 지하1층 ,1
게임업소,본PC방," 상봉동 496 우정 상가동 비01,비02,비03,비04,비05,비06 ",1
게임업소,행운PC방, 신내동 494-5번지 지하1층 ,1
게임업소,조은PC방, 면목동 102-2번지 지상2층 ,1
게임업소,스마트PC방, 묵동 170-27번지 월등스카이뷰아파트 비101 ,1
게임업소,오즈PC방, 면목동 497-7번지 2층 ,1
게임업소,WAA PC방, 면목동 118-1번지 2층 ,1
게임업소,레드PC방, 면목동 578-28번지 외 2필지 지상2층 ,1
게임업소,PC & 달인, 면목동 653-1번지 3층 ,1
게임업소,아이센스PC방 망우점," 망우동 479 한일써너스빌리젠시1단지 S1215, S1216 지상2층 ",1
게임업소,페타PC방, 상봉동 122번지 2층 ,1
게임업소,제우스PC방, 면목동 103-6번지 2층 ,1
게임업소,PC데이(DAY), 면목동 117-17번지 2층 ,1
게임업소,에스엠(SM)PC방, 상봉동 136-1번지 3층 4호,1
게임업소,LUNA PC cafe(루나피씨카페), 신내동 613-10번지 외 1필지 3층 ,1
게임업소,상봉PC방, 상봉동 84-22번지 2층 ,1
게임업소,맥스피드PC방, 면목동 458-49번지 지하1층 ,1
게임업소,현PC, 면목동 148-31번지 ,1
게임업소,로즈PC방, 상봉동 118번지 외2 ,1
게임업소,엔탑PC존, 중화동 307-1번지 1층 17회외22 ,1
게임업소,피시데이(PC DAY), 면목동 184-13번지 세일종합상가 2층 ,1
게임업소,맥스피드PC방, 면목동 51-19번지 지상2층 ,1
게임업소,아이센스PC, 묵동 174-4번지 지하1층 ,1
게임업소,갤러리PC, 신내동 613-71번지 부영빌딩3층 ,1
게임업소,벙커PC방, 면목동 146-75번지 3층 ,1
게임업소,오즈PC카페, 면목동 497-7번지 2층 ,1
게임업소,베가 PC카페, 신내동 644번지 엘리어트하우스 지하1동 102호,1
게임업소,뮤토(MUTO)PC, 면목동 51-1번지 3층 ,1
게임업소,센스PC, 면목동 50-47번지 2층 ,1
게임업소,제노PC cafe, 면목동 496-4번지 지하1층 ,1
게임업소,샹떼PC방, 상봉동 300-2번지 2층 ,1
게임업소,큐브PC, 중화동 307-62번지 지상1층 ,1
게임업소,콩PC, 묵동 238-2번지 2층 201호 ,1
게임업소,로웰 PC Cafe, 망우동 491-38번지 3층 ,1
게임업소,뉴본PC CAFE, 중화동 315-10번지 2층 ,1
게임업소,셀프PC, 중화동 325-16번지 지상1층 ,1
게임업소,일레븐, 면목동 472-8번지 지상2층 ,1
게임업소,망고톡PC방, 면목동 68-11번지 지상2층 ,1
게임업소,NY시스템, 중화동 301-49번지 지상1층 ,1
게임업소,천PC, 면목동 175-85번지 지상1층 ,1
게임업소,승PC, 망우동 357-36번지 지상1층 ,1
게임업소,베테랑, 상봉동 90-12번지 ,1
