흡연구역아이디,흡연구역명,흡연구역범위상세,시도명,시군구명,읍면동명,흡연구역구분,흡연구역면적,소재지 도로명주소,소재지 지번주소,관리기관명,위도,경도,데이터기준일,이미지,비고
구의3동-02-01-002,리젠트오피스텔 후면,후면,서울특별시,광진구,구의3동,흡연구역,36.916,서울특별시 광진구 강변역로4길 68,서울특별시 광진구 구의동 547-8,광진구청,37.53254064,127.0925786,2021-12-21,구의3동-02-01-002-리젠트오피스텔 후면.jpeg,
구의3동-02-01-003,리젠트오피스텔 좌측,좌측,서울특별시,광진구,구의3동,흡연구역,26.252,서울특별시 광진구 강변역로4길 68,서울특별시 광진구 구의동 547-8,광진구청,37.53232407,127.0929998,2021-12-21,구의3동-02-01-003-리젠트오피스텔 좌측.jpeg,
구의1동-02-01-004,광진소방서 본관 1층 전면,1층 전면,서울특별시,광진구,구의1동,흡연구역,304.512,서울특별시 광진구 광나루로 480,서울특별시 광진구 구의동 253-23,광진구청,37.54496587,127.0828907,2021-12-21,구의1동-02-01-004-광진소방서 본관 1층 전면.jpeg,
구의3동-02-01-006,오렌지타워 건물 후면,건물 후면,서울특별시,광진구,구의3동,흡연구역,86.193,서울특별시 광진구 광나루로 580,서울특별시 광진구 구의동 202-2,광진구청,37.54316971,127.0931858,2021-12-21,구의3동-02-01-006-오렌지타워 건물 후면.jpeg,
구의3동-02-01-007,광진구 민방위 교육장 1층 마당,1층 마당,서울특별시,광진구,구의3동,흡연구역,22.15,서울특별시 광진구 광나루로56길 8,서울특별시 광진구 구의동 630,광진구청,37.5391025,127.0977689,2021-12-21,구의3동-02-01-007-광진구 민방위 교육장 1층 마당.jpeg,
구의3동-02-01-008,테크노마트 9층 하늘마당 좌측,하늘마당 좌측,서울특별시,광진구,구의3동,흡연구역,44.518,서울특별시 광진구 광나루로56길 85,서울특별시 광진구 구의동 546-4,광진구청,37.53600275,127.0953945,2021-12-21,구의3동-02-01-008-테크노마트 9층 하늘마당 좌측.jpeg,
구의3동-02-01-009,테크노마트 9층 하늘마당 우측,하늘마당 우측,서울특별시,광진구,구의3동,흡연구역,34.236,서울특별시 광진구 광나루로56길 85,서울특별시 광진구 구의동 546-4,광진구청,37.53536423,127.0959459,2021-12-21,구의3동-02-01-009-테크노마트 9층 하늘마당 우측.jpeg,
구의3동-02-01-010,테크노마트 동측 주차장,동측 주차장,서울특별시,광진구,구의3동,흡연구역,92.313,서울특별시 광진구 광나루로56길 85,서울특별시 광진구 구의동 546-4,광진구청,37.53544727,127.0960893,2021-12-21,구의3동-02-01-010-테크노마트 동측 주차장.jpeg,
구의3동-02-01-011,테크노마트 9층 하늘공원 우측,하늘공원 우측,서울특별시,광진구,구의3동,흡연구역,54.472,서울특별시 광진구 광나루로56길 85,서울특별시 광진구 구의동 546-4,광진구청,37.53616002,127.096129,2021-12-21,구의3동-02-01-011-테크노마트 9층 하늘공원 우측.jpeg,
화양동-02-01-013,새천년관 대공연장 좌측,좌측,서울특별시,광진구,화양동,흡연구역,173.479,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54317933,127.07682,2021-12-21,화양동-02-01-013-새천년관 대공연장 좌측.jpeg,
화양동-02-01-014,건국대학교 법학관 앞,법학관 앞,서울특별시,광진구,화양동,흡연구역,73.067,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54185048,127.0749608,2021-12-21,화양동-02-01-014-건국대학교 법학관 앞.jpeg,
화양동-02-01-015,건국대학교 공학관,공학관,서울특별시,광진구,화양동,흡연구역,326.832,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54162561,127.0793227,2021-12-21,화양동-02-01-015-건국대학교 공학관.jpeg,
군자동-02-01-016,세종대학교 충무관 앞,충무관 앞,서울특별시,광진구,군자동,흡연구역,190.527,서울특별시 광진구 능동로 209,서울특별시 광진구 군자동 98,광진구청,37.55228045,127.0737184,2021-12-21,군자동-02-01-016-세종대학교 충무관 앞.jpeg,
군자동-02-01-017,세종대학교 집현관 좌측,집현관 좌측,서울특별시,광진구,군자동,흡연구역,383.93,서울특별시 광진구 능동로 209,서울특별시 광진구 군자동 98,광진구청,37.54896998,127.0739552,2021-12-21,군자동-02-01-017-세종대학교 집현관 좌측.jpeg,
군자동-02-01-018,세종대학교 도서관 우측,도서관 우측,서울특별시,광진구,군자동,흡연구역,179.377,서울특별시 광진구 능동로 209,서울특별시 광진구 군자동 98,광진구청,37.55043462,127.0736971,2021-12-21,군자동-02-01-018-세종대학교 도서관 우측.jpeg,
군자동-02-01-019,세종대학교 광개토관 우측,광개토관 우측,서울특별시,광진구,군자동,흡연구역,175.872,서울특별시 광진구 능동로 209,서울특별시 광진구 군자동 98,광진구청,37.55050736,127.0735124,2021-12-21,군자동-02-01-019-세종대학교 광개토관 우측.jpeg,
군자동-02-01-020,세종대학교 학생회관,학생회관,서울특별시,광진구,군자동,흡연구역,1536.16,서울특별시 광진구 능동로 209,서울특별시 광진구 군자동 98,광진구청,37.54969251,127.0752487,2021-12-21,군자동-02-01-020-세종대학교 학생회관.jpeg,
군자동-02-01-021,세종대학교 애지헌 앞,애지헌 앞,서울특별시,광진구,군자동,흡연구역,514.36,서울특별시 광진구 능동로 209,서울특별시 광진구 군자동 98,광진구청,37.55057227,127.0743796,2021-12-21,군자동-02-01-021-세종대학교 애지헌 앞.jpeg,
군자동-02-01-022,세종대학교 군자관 앞,군자관 앞,서울특별시,광진구,군자동,흡연구역,734.826,서울특별시 광진구 능동로 209,서울특별시 광진구 군자동 98,광진구청,37.54961155,127.0734844,2021-12-21,군자동-02-01-022-세종대학교 군자관 앞.jpeg,
