자치구명,시설형태,설치위치,설치주체,설치일자
서초구청,개방형흡연부스,사당역 2번 출구와 3번 출구 사이 보도,서초구보건소,2016-04-23
서초구청,개방형흡연부스,강남역 7번 출구와 8번출구 사이 보도 서초동 1319-5 앞,서초구보건소,2018-08-28
서초구청,개방형흡연부스,방배역3번출구 먹자골목 입구방배동 910-9 옆,서초구보건소,2019-04-03
서초구청,개방형흡연부스,방배천복개도로 명동칼국수방배동 450-14 앞,서초구보건소,2019-04-26
서초구청,개방형흡연부스,서초대로 78길 24 서초동 1327-5 스타벅스 앞,서초구보건소,2019-04-23
서초구청,개방형흡연부스,서초대로 78길 42 서초동 1330-18 현대기림오피스텔 앞,서초구보건소,2019-04-23
서초구청,개방형흡연부스,원지동 23서초종합체육센터 입구,서초구보건소,2019-11-15
서초구청,개방형흡연부스,방배동 438-38(서울시공공자전거 수서센터  앞) ,서초구보건소,2020-05-12
서초구청,개방형흡연부스,방배천복개도로 방배경찰서방배동 455-10 앞,서초구보건소,2020-05-28
서초구청,개방형흡연부스,방배천복개도로 그린골프장방배동 452-1 앞,서초구보건소,2020-05-28
서초구청,라인형흡연구역, 서희타워서초동1366-4 옆 이면도로,서초구보건소,2019-06-24
서초구청,라인형흡연구역,양재환승주차장 세븐일레븐 편의점 옆,서초구보건소,2020-06-04
서초구청,폐쇄형흡연부스,서초구청 주차장 자판기 옆,서초구,2020-04-21
서초구청,개방형흡연구역,교보생명보험㈜서초사옥 부지주차장 진입로 옆),교보생명,2012-04-26
서초구청,개방형흡연구역,엘타워 뒤 주차장 진입로 옆,엘타워,2015-04-18
서초구청,부분개방형흡연실,서울가정행정법원 청사 출입계단 밑,가정법원,2015-06-08
서초구청,부분개방형흡연부스,센트럴시티 경부선 하차장 옆,센트럴시티,2019-11-16
서초구청,부분개방형흡연부스,센트럴시티 호남선 출입구 옆,센트럴시티,2019-08-21
서초구청,개방형흡연구역,센트럴시티  경부선 건물 남쪽 외부 공간,센트럴시티,2019-11-16
서초구청,부분개방형흡연구역,고속버스터미널역 3번출구 앞,센트럴시티,2018-03-16
서초구청,라인형흡연구역,남부순환로350길 36 강촌쭈꾸미 앞 전신주 주변,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로30길 7 카센터 옆 기존 주차구역(영동교회 맞은편),서초구보건소,2020-11-01
서초구청,라인형흡연구역,남부순환로 2636 건물 우측 골목(오선채 좌측골목),서초구보건소,2020-11-01
서초구청,라인형흡연구역,논현로31길 9 전국자동차노조연맹 사옥건물 뒤 사거리,서초구보건소,2020-11-01
서초구청,라인형흡연구역,바우뫼로 201 블랙야크빌딩 주차장 출입구 옆 사거리,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로 148 서울마더스성형외과 앞 녹지 사이 보도,서초구보건소,2020-11-01
서초구청,라인형흡연구역,양재천로21길 29 앞 녹지 사이 보도,서초구보건소,2020-11-01
서초구청,라인형흡연구역,양재천로21길 3 건물 앞 보도 가각지점,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로27길 7-21 건물 앞 횃불어린이공원 경계,서초구보건소,2020-11-01
서초구청,라인형흡연구역,양재천로19길 34 건물 앞 녹지 사이 보도,서초구보건소,2020-11-01
서초구청,라인형흡연구역,바우뫼로 128 비스텔타워 후면 전신주 주변,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로 193 서울가정행정법원 청사계단 옆,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로 213 엘타워 주차장 입구,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로 221 양재주차빌딩(양재역 환승주차장) 옆,서초구보건소,2020-11-01
서초구청,비대면흡연부스,바우뫼로21길 10 진입로 입구,서초구보건소,2020-11-01
서초구청,비대면흡연부스,바우뫼로27길 13 세븐일레븐 편의점 앞,서초구보건소,2020-11-01
서초구청,비대면흡연부스,강남대로27길 7-9 느린마을양조장 앞,서초구보건소,2020-11-01
서초구청,라인형흡연구역,양재동 261-22 양재천 족구장 기존 흡연구역,서초구보건소,2020-11-01
서초구청,라인형흡연구역,마방로10길 25 건물 주차장 기업은행 지주간판 도로,서초구보건소,2020-11-01
서초구청,비대면흡연부스,논현로 31 빌딩 앞 사거리 가각지점,서초구보건소,2020-11-01
서초구청,라인형흡연구역,논현로1길 23 아파트 외부 보도 가각지점,서초구보건소,2020-11-01
서초구청,라인형흡연구역,동산로16길 34 건물 앞 가각지점 보도(화단 옆),서초구보건소,2020-11-01
서초구청,라인형흡연구역,논현로1길 83 앞 녹지 옆 기존 흡연구역,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로8길 77 동산마을구립주차장 내,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로6길 60-23 건물 후면 양재대로변 ,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로4길 5 카센터 앞 보도,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로6길 16 건물 앞 녹지사이 보도,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로8길 3 건물 앞 보도 끝지점,서초구보건소,2020-11-01
서초구청,라인형흡연구역,강남대로10길 21 건물 앞 녹지사이 보도,서초구보건소,2020-11-01
서초구청,라인형흡연구역,마방로2길 26 건물 앞 녹지사이 보도,서초구보건소,2020-11-01
서초구청,라인형흡연구역,양재동 221-3 건물 앞 녹지사이 보도,서초구보건소,2020-11-01
서초구청,라인형흡연구역,논현로 27 소호정 주차장,서초구보건소,2020-11-01
서초구청,비대면흡연부스,논현로 71 평가옥 앞 ,서초구보건소,2020-11-01
서초구청,라인형흡연구역,동산로2길 27 한성생고기 앞,서초구보건소,2020-11-01
서초구청,비대면흡연부스,양재동 316 띠녹지 안,서초구보건소,2020-11-01
서초구청,비대면흡연부스,강남대로27 AT센터 앞,서초구보건소,2020-11-01
서초구청,비대면흡연부스,매헌로16길 32 희경재단 앞 녹지대,서초구보건소,2020-11-01
