자치구,시설 구분,시설형태,설치 위치,규모(제곱미터),설치일,설치 주체,관리여부,관리
서울특별시 성북구,보건소,완전개방형,성북구보건소 10층 옥상,3,2014-07-01,성북구보건소,여,성북구보건소
서울특별시 성북구,청사,개방형,성북구청 12층 옥상,16,2017-07-01,성북구청,여,성북구청
서울특별시 성북구,청사,개방형,성북구청 5층 휴게공간,3,2015-11-01,성북구청,여,성북구청
서울특별시 성북구,의료기관,완전폐쇄형,고려대학교 안암병원출입구 앞 통행로,9,2017-06-01,고대병원,여,고대병원
서울특별시 성북구,의료기관,개방형,성북중앙병원 옥상,4,2017-05-01,성북중앙병원,여,성북중앙병원
서울특별시 성북구,대학교,개방형,국민대학교 북악관 뒤,30,2018-08-01,국민대학교,여,국민대학교
서울특별시 성북구,대학교,개방형,국민대학교 도서관 옆,30,2018-08-01,국민대학교,여,국민대학교
서울특별시 성북구,대학교,폐쇄형,서경대 북악관 앞,8,,서경대학교,여,서경대학교
서울특별시 성북구,대학교,폐쇄형,한성대학교 학송관 옆,10,2018-03-01,한성대학교,여,한성대학교
서울특별시 성북구,대규모점포,폐쇄형,현대백화점 미아점 옥상,76,2002-11-01,현대백화점,여,현대백화점
서울특별시 성북구,대규모점포,완전폐쇄형,이마트 미아점 주차동 1층,10,2008-10-01,이마트,여,이마트
서울특별시 성북구,대규모점포,개방형,유타몰 뒤,9,,유타몰,여,유타몰
서울특별시 성북구,음식점,완전폐쇄형,밀르몽 옥상,3,2016-03-01,밀르몽,여,밀르몽
서울특별시 성북구,음식점,개방형,삼청각 한식당 주차장 뒤,6,2016-05-01,삼청각 한식당,여,삼청각 한식당
