자치구명,시설 구분,시설형태,서울특별시 용산구 설치 위치,설치 주체,위도,경도
용산구,철도역,개방형,서울특별시 용산구 서울역 광장 15번출구,한국철도공사,37.553149,126.968881
용산구,철도역,개방형,서울특별시 용산구 서울역 광장 1번출구,한국철도공사,37.55376,126.969662
용산구,철도역(조례),개방형,서울특별시 용산구 용산역 광장,현대아이파크몰,37.528404,126.965569
용산구,청사,개방형,서울특별시 용산구 용산구청 옥상,용산구청,37.532709,126.99
용산구,청사,개방형,서울특별시 용산구 용산구청 2층 외부,용산구청,37.532709,126.99
용산구,청사,개방형,서울특별시 용산구 용산경찰서 1층 외부,용산경찰서,37.541169,126.96765
용산구,청사,개방형,서울특별시 용산구 원효지구대 방범순찰대(옛 용산구청),원효지구대 방법순찰대,37.538716,126.96589
용산구,청사,개방형,서울특별시 용산구 서울지방보훈청 실외,서울지방보훈청,37.534923,126.974192
용산구,청사,개방형,서울특별시 용산구 용산세무서 1층 외부,용산세무서,37.523302,126.96868
용산구,청사,개방형,서울특별시 용산구 국방부 컨벤스 1층 외부,국방부,37.533237,126.97859
용산구,의료기관,개방형,서울특별시 용산구 순천향대학교 서울병원 장례식장 외부,순천향대학교병원,37.534466,127.004585
용산구,의료기관,개방형,서울특별시 용산구 순천향대학교 서울병원 신관 옥상,순천향대학교병원,37.534009,127.004334
용산구,호텔,개방형,서울특별시 용산구 1층 외부 주차장 가는길 휴식장소,하얏트호텔,37.539372,126.997264
용산구,대규모점포,개방형,서울특별시 용산구 아이파크몰 달 주차장 4.5층,현대아이파크몰,37.529492,126.964318
용산구,대규모점포,개방형,서울특별시 용산구 아이파크몰 해 주차장 4.5층,현대아이파크몰,37.529492,126.964318
용산구,대규모점포,개방형,서울특별시 용산구 아이파크몰 8층 옥상,현대아이파크몰,37.529492,126.964318
용산구,대규모점포,개방형,서울특별시 용산구 선인상가 21동 1층 외부,선인상가,37.533068,126.963521
용산구,대규모점포,개방형,서울특별시 용산구 선인상가 21동 옥상,선인상가,37.533068,126.963521
용산구,연면적 1000㎡ 이상 대형건물,개방형,서울특별시 용산구 1층 공유지,대주아이피아,37.533417,126.96736
