업종,흡연시설구분,흡연시설형태,상호명,시도명,시군구명,소재지도로명주소,데이터기준일자
게임시설,실내,폐쇄형,은평게임랜드,서울특별시,은평구,연서로29길 5 (갈현동),2022-01-01
게임시설,실내,폐쇄형,삼성게임랜드,서울특별시,은평구,"통일로 720, 3층 (불광동)",2022-01-01
게임시설,실내,폐쇄형,명정게임랜드,서울특별시,은평구,"통일로 855-8, 연신내진원와이타운 지하1층 (갈현동)",2022-01-01
게임시설,실내,폐쇄형,연신내 게임랜드,서울특별시,은평구,"연서로29길 8-8, 인락빌딩 3층 (갈현동)",2022-01-01
게임시설,실내,폐쇄형,인터라켄,서울특별시,은평구,"진관2로 29-21 (진관동,지하1층)",2022-01-01
게임시설,실내,폐쇄형,3POP PC CAFE,서울특별시,은평구,"연서로 73, 지하1층 (역촌동)",2022-01-01
게임시설,실내,폐쇄형,웹시티PC방,서울특별시,은평구,"통일로 731, 3층 (대조동)",2022-01-01
게임시설,실내,폐쇄형,긱스타PC CAFE,서울특별시,은평구,"연서로32길 3, 지층 (불광동)",2022-01-01
게임시설,실내,폐쇄형,T.G.O PC방,서울특별시,은평구,"응암로 168-1 (응암동,2층,3층)",2022-01-01
게임시설,실내,폐쇄형,유비트pc방,서울특별시,은평구,"갈현로41길 10-1 (갈현동,3층)",2022-01-01
게임시설,실내,폐쇄형,아이닉스 PC방,서울특별시,은평구,"은평로 192, 지층 (응암동)",2022-01-01
게임시설,실내,폐쇄형,하늘PC,서울특별시,은평구,"통일로 855-20 (갈현동,회원빌딩4층)",2022-01-01
게임시설,실내,폐쇄형,테라PC방,서울특별시,은평구,"통일로83길 6-5  (갈현동,지층)",2022-01-01
게임시설,실내,폐쇄형,피씨앤푸드 녹번점,서울특별시,은평구,"은평로 187-1 (녹번동, 이화빌딩)",2022-01-01
게임시설,실내,폐쇄형,긱스타PC방,서울특별시,은평구,"갈현로 39-1, 2층 (신사동)",2022-01-01
게임시설,실내,폐쇄형,토마토PC방,서울특별시,은평구,"서오릉로 178 (갈현동,2층)",2022-01-01
게임시설,실내,폐쇄형,알파PC방,서울특별시,은평구,통일로 850 (불광동),2022-01-01
게임시설,실내,폐쇄형,인터쿨,서울특별시,은평구,"진흥로 112  (녹번동,2층,4층)",2022-01-01
게임시설,실내,폐쇄형,타임PC방,서울특별시,은평구,"은평로 5 (신사동,2층)",2022-01-01
게임시설,실내,폐쇄형,아즈텍 PC방,서울특별시,은평구,"통일로 697, 3층 (녹번동)",2022-01-01
게임시설,실내,폐쇄형,N톡PC,서울특별시,은평구,"서오릉로 192, 지층 (갈현동)",2022-01-01
게임시설,실내,폐쇄형,더조은PC카페,서울특별시,은평구,"갈현로 188, 1,2층 (갈현동)",2022-01-01
게임시설,실내,폐쇄형,고릴라PC방(역촌역점),서울특별시,은평구,"서오릉로 77, 3층동 (역촌동)",2022-01-01
게임시설,실내,폐쇄형,아이세븐 PC,서울특별시,은평구,"연서로 213 (갈현동,지층)",2022-01-01
게임시설,실내,폐쇄형,씨엘PC방,서울특별시,은평구,"통일로 827, 지하1층 (대조동)",2022-01-01
게임시설,실내,폐쇄형,드레곤PC,서울특별시,은평구,"진흥로 144, 지층 (녹번동)",2022-01-01
게임시설,실내,폐쇄형,퀸PC방,서울특별시,은평구,"연서로 247, 2층 (불광동)",2022-01-01
